bioguide_id,nominee_raw,role_title,role_title_source,confirmation_date,confirmation_vote_url,confirmation_vote_result,nomination_citation,nomination_date,nomination_url,predecessor_name,predecessor_source
SCOTUS-ROBERTS-J,"John G. Roberts, Jr.",Chief Justice of the United States,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2005-09-29,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1091/vote_109_1_00245.htm,Confirmed 78-22,PN801,2005-09-06,https://www.congress.gov/nomination/109th-congress/801,William H. Rehnquist,https://www.congress.gov/nomination/109th-congress/801
SCOTUS-THOMAS-C,Clarence Thomas,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,1991-10-15,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1021/vote_102_1_00220.htm,Confirmed 52-48,PN456,1991-07-08,https://www.congress.gov/nomination/102th-congress/456,Thurgood Marshall,https://www.congress.gov/nomination/102th-congress/456
SCOTUS-ALITO-S,"Samuel A. Alito, Jr.",Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2006-01-31,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1092/vote_109_2_00002.htm,Confirmed 58-42,PN1059,2005-11-10,https://www.congress.gov/nomination/109th-congress/1059,Sandra Day O'Connor,https://www.congress.gov/nomination/109th-congress/1059
SCOTUS-SOTOMAYOR-S,Sonia Sotomayor,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2009-08-06,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1111/vote_111_1_00262.htm,Confirmed 68-31,PN506,2009-06-01,https://www.congress.gov/nomination/111th-congress/506,David H. Souter,https://www.congress.gov/nomination/111th-congress/506
SCOTUS-KAGAN-E,Elena Kagan,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2010-08-05,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1112/vote_111_2_00229.htm,Confirmed 63-37,PN1768,2010-05-10,https://www.congress.gov/nomination/111th-congress/1768,John Paul Stevens,https://www.congress.gov/nomination/111th-congress/1768
SCOTUS-GORSUCH-N,Neil M. Gorsuch,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2017-04-07,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1151/vote_115_1_00111.htm,Confirmed 54-45,PN55,2017-02-01,https://www.congress.gov/nomination/115th-congress/55,Antonin Scalia,https://www.congress.gov/nomination/115th-congress/55
SCOTUS-KAVANAUGH-B,Brett M. Kavanaugh,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2018-10-06,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00223.htm,Confirmed 50-48,PN2259,2018-07-10,https://www.congress.gov/nomination/115th-congress/2259,Anthony M. Kennedy,https://www.congress.gov/nomination/115th-congress/2259
SCOTUS-BARRETT-A,Amy Coney Barrett,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2020-10-26,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1162/vote_116_2_00224.htm,Confirmed 52-48,PN2252,2020-09-29,https://www.congress.gov/nomination/116th-congress/2252,Ruth Bader Ginsburg,https://www.congress.gov/nomination/116th-congress/2252
SCOTUS-JACKSON-KB,Ketanji Brown Jackson,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,2022-04-07,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1172/vote_117_2_00134.htm,Confirmed 53-47,PN1783,2022-02-28,https://www.congress.gov/nomination/117th-congress/1783,Stephen G. Breyer,https://www.congress.gov/nomination/117th-congress/1783
