bioguide_id,role_title,role_title_source,verdict
EXEC-YELLEN-J,Secretary of the Treasury,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title31-section301&num=0&edition=prelim,OK
EXEC-ZELDIN-L,Administrator of the Environmental Protection Agency,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title5-section5313&num=0&edition=prelim,OK
FOREIGN-ALBANESE-A,Prime Minister of Australia,https://www.pm.gov.au/about-prime-minister,OK
FOREIGN-CARNEY-M,Prime Minister of Canada,https://www.pm.gc.ca/en/about,OK
FOREIGN-GUTERRES-A,Secretary-General of the United Nations,https://www.un.org/sg/en,OK
FOREIGN-MACRON-E,President of the Republic,https://www.elysee.fr/en/emmanuel-macron,OK
FOREIGN-MELONI-G,President of the Council of Ministers,https://www.governo.it/en,OK
FOREIGN-PUTIN-V,President of Russia,http://en.kremlin.ru/catalog/persons/151/biography,OK
FOREIGN-RAMAPHOSA-C,President,https://www.thepresidency.gov.za/,OK
FOREIGN-SHEHBAZ-S,Prime Minister of Pakistan,https://pmo.gov.pk/,OK
FOREIGN-STARMER-K,Prime Minister,https://www.gov.uk/government/people/keir-starmer,OK
FOREIGN-SUNAK-R,Prime Minister,https://www.gov.uk/government/people/rishi-sunak,OK
FOREIGN-TUSK-D,Prime Minister,https://www.gov.pl/web/primeminister,OK
FOREIGN-VONDERLEYEN-U,President of the European Commission,https://commission.europa.eu/persons/ursula-von-der-leyen_en,OK
FOREIGN-WONG-L,Prime Minister,https://www.pmo.gov.sg/The-Cabinet/Mr-Lawrence-Wong,OK
