slug,governance_source,verdict,verified_at
united-nations,https://www.un.org/en/about-us/un-charter/full-text,OK,2026-08-07
north-atlantic-treaty-organization,https://www.nato.int/cps/en/natolive/official_texts_17120.htm,OK,2026-08-07
international-monetary-fund,https://www.imf.org/external/pubs/ft/aa/,OK,2026-08-07
world-health-organization,https://www.who.int/about/governance/constitution,OK,2026-08-07
world-trade-organization,https://www.wto.org/english/docs_e/legal_e/04-wto_e.htm,OK,2026-08-07
european-commission,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:12012M/TXT,OK,2026-08-07
international-labour-organization,https://normlex.ilo.org/dyn/nrmlx_en/f?p=1000:62:0::NO:62:P62_LIST_ENTRIE_ID:2453907,OK,2026-08-07
