lcv_name,state,party,chamber,year,score,lifetime_score,source_url
"Schumer, Chuck",New York,D,senate,2025,100,93,https://www.lcv.org/moc/chuck-schumer/
"Budd, Ted",North Carolina,R,senate,2025,3,4,https://www.lcv.org/moc/ted-budd/
"Tillis, Thom",North Carolina,R,senate,2025,9,11,https://www.lcv.org/moc/thom-tillis/
"Cramer, Kevin",North Dakota,R,senate,2025,0,5,https://www.lcv.org/moc/kevin-cramer/
"Hoeven, John",North Dakota,R,senate,2025,0,8,https://www.lcv.org/moc/john-hoeven/
"Husted, Jon",Ohio,R,senate,2025,3,3,https://www.lcv.org/moc/jon-husted/
"Moreno, Bernie",Ohio,R,senate,2025,3,3,https://www.lcv.org/moc/bernie-moreno/
"Lankford, James",Oklahoma,R,senate,2025,0,5,https://www.lcv.org/moc/james-lankford/
"Mullin, Markwayne",Oklahoma,R,senate,2025,3,2,https://www.lcv.org/moc/markwayne-mullin/
"Merkley, Jeff",Oregon,D,senate,2025,97,99,https://www.lcv.org/moc/jeff-merkley/
"Wyden, Ron",Oregon,D,senate,2025,100,92,https://www.lcv.org/moc/ron-wyden/
"Fetterman, John",Pennsylvania,D,senate,2025,80,84,https://www.lcv.org/moc/john-fetterman/
"McCormick, David",Pennsylvania,R,senate,2025,0,0,https://www.lcv.org/moc/david-mccormick/
"Reed, Jack",Rhode Island,D,senate,2025,100,97,https://www.lcv.org/moc/jack-reed/
"Whitehouse, Sheldon",Rhode Island,D,senate,2025,94,97,https://www.lcv.org/moc/sheldon-whitehouse/
"Graham, Lindsey",South Carolina,R,senate,2025,3,14,https://www.lcv.org/moc/lindsey-o-graham/
"Scott, Tim",South Carolina,R,senate,2025,0,5,https://www.lcv.org/moc/tim-scott/
"Rounds, Mike",South Dakota,R,senate,2025,3,8,https://www.lcv.org/moc/mike-rounds/
"Thune, John",South Dakota,R,senate,2025,3,10,https://www.lcv.org/moc/john-r-thune/
"Blackburn, Marsha",Tennessee,R,senate,2025,0,3,https://www.lcv.org/moc/marsha-blackburn/
"Hagerty, Bill",Tennessee,R,senate,2025,0,4,https://www.lcv.org/moc/bill-hagerty/
"Cornyn, John",Texas,R,senate,2025,3,6,https://www.lcv.org/moc/john-cornyn/
"Cruz, Ted",Texas,R,senate,2025,0,3,https://www.lcv.org/moc/ted-cruz/
"Curtis, John",Utah,R,senate,2025,3,6,https://www.lcv.org/moc/john-curtis/
"Lee, Mike",Utah,R,senate,2025,3,7,https://www.lcv.org/moc/mike-lee/
"Sanders, Bernie",Vermont,I,senate,2025,94,92,https://www.lcv.org/moc/bernie-sanders/
"Welch, Peter",Vermont,D,senate,2025,97,95,https://www.lcv.org/moc/peter-f-welch/
"Kaine, Timothy",Virginia,D,senate,2025,97,97,https://www.lcv.org/moc/timothy-kaine/
"Warner, Mark",Virginia,D,senate,2025,97,92,https://www.lcv.org/moc/mark-r-warner/
"Cantwell, Maria",Washington,D,senate,2025,97,94,https://www.lcv.org/moc/maria-cantwell/
"Murray, Patty",Washington,D,senate,2025,100,93,https://www.lcv.org/moc/patty-murray/
"Capito, Shelley Moore",West Virginia,R,senate,2025,3,16,https://www.lcv.org/moc/shelley-moore-capito/
"Justice, James",West Virginia,R,senate,2025,3,3,https://www.lcv.org/moc/james-c-justice/
"Baldwin, Tammy",Wisconsin,D,senate,2025,97,97,https://www.lcv.org/moc/tammy-baldwin/
"Johnson, Ron",Wisconsin,R,senate,2025,0,5,https://www.lcv.org/moc/ron-johnson/
"Barrasso, John",Wyoming,R,senate,2025,3,6,https://www.lcv.org/moc/john-barrasso/
"Lummis, Cynthia",Wyoming,R,senate,2025,3,5,https://www.lcv.org/moc/cynthia-m-lummis/
"Moore, Barry",Alabama,R,house,2025,0,1,https://www.lcv.org/moc/barry-moore/
"Figures, Shomari",Alabama,D,house,2025,94,94,https://www.lcv.org/moc/shomari-figures/
"Rogers, Mike",Alabama,R,house,2025,0,5,https://www.lcv.org/moc/mike-d-rogers/
"Aderholt, Robert",Alabama,R,house,2025,0,3,https://www.lcv.org/moc/robert-b-aderholt/
"Strong, Dale",Alabama,R,house,2025,0,0,https://www.lcv.org/moc/dale-strong/
"Palmer, Gary",Alabama,R,house,2025,0,1,https://www.lcv.org/moc/gary-palmer/
"Sewell, Terri",Alabama,D,house,2025,91,85,https://www.lcv.org/moc/terri-sewell/
"Begich, Nicholas",Alaska,R,house,2025,0,0,https://www.lcv.org/moc/nicholas-j-begich/
"Radewagen, Amata",American Samoa,R,house,2025,0,7,https://www.lcv.org/moc/amata-coleman-radewagen/
"Schweikert, David",Arizona,R,house,2025,0,5,https://www.lcv.org/moc/david-schweikert/
"Crane, Eli",Arizona,R,house,2025,0,1,https://www.lcv.org/moc/eli-crane/
"Ansari, Yassamin",Arizona,D,house,2025,100,100,https://www.lcv.org/moc/yassamin-ansari/
"Stanton, Greg",Arizona,D,house,2025,97,97,https://www.lcv.org/moc/greg-stanton/
"Biggs, Andy",Arizona,R,house,2025,0,3,https://www.lcv.org/moc/andy-biggs/
"Ciscomani, Juan",Arizona,R,house,2025,0,7,https://www.lcv.org/moc/juan-ciscomani/
"Grijalva, Adelita",Arizona,D,house,2025,100,100,https://www.lcv.org/moc/adelita-grijalva/
"Hamadeh, Abraham",Arizona,R,house,2025,0,0,https://www.lcv.org/moc/abraham-j-hamadeh/
"Gosar, Paul",Arizona,R,house,2025,0,3,https://www.lcv.org/moc/paul-gosar/
"Crawford, Rick",Arkansas,R,house,2025,0,4,https://www.lcv.org/moc/rick-crawford/
"Hill, French",Arkansas,R,house,2025,0,7,https://www.lcv.org/moc/french-hill/
"Womack, Steve",Arkansas,R,house,2025,0,5,https://www.lcv.org/moc/steve-womack/
"Westerman, Bruce",Arkansas,R,house,2025,0,3,https://www.lcv.org/moc/bruce-westerman/
"LaMalfa, Doug",California,R,house,2025,0,2,https://www.lcv.org/moc/doug-lamalfa/
"Huffman, Jared",California,D,house,2025,100,98,https://www.lcv.org/moc/jared-huffman/
"Kiley, Kevin",California,R,house,2025,0,9,https://www.lcv.org/moc/kevin-kiley/
"Thompson, Mike",California,D,house,2025,97,94,https://www.lcv.org/moc/mike-thompson/
"McClintock, Tom",California,R,house,2025,3,3,https://www.lcv.org/moc/tom-mcclintock/
"Bera, Ami",California,D,house,2025,97,95,https://www.lcv.org/moc/ami-bera/
"Matsui, Doris",California,D,house,2025,97,97,https://www.lcv.org/moc/doris-o-matsui/
"Garamendi, John",California,D,house,2025,100,92,https://www.lcv.org/moc/john-garamendi/
"Harder, Josh",California,D,house,2025,97,97,https://www.lcv.org/moc/josh-harder/
"DeSaulnier, Mark",California,D,house,2025,100,100,https://www.lcv.org/moc/mark-desaulnier/
"Pelosi, Nancy",California,D,house,2025,100,94,https://www.lcv.org/moc/nancy-pelosi/
"Simon, Lateefah",California,D,house,2025,100,100,https://www.lcv.org/moc/lateefah-simon/
"Gray, Adam",California,D,house,2025,61,61,https://www.lcv.org/moc/adam-gray/
"Swalwell, Eric",California,D,house,2025,48,90,https://www.lcv.org/moc/eric-swalwell/
"Mullin, Kevin",California,D,house,2025,97,98,https://www.lcv.org/moc/kevin-mullin/
"Liccardo, Sam",California,D,house,2025,94,94,https://www.lcv.org/moc/sam-t-liccardo/
"Khanna, Ro",California,D,house,2025,100,99,https://www.lcv.org/moc/ro-khanna/
"Lofgren, Zoe",California,D,house,2025,97,93,https://www.lcv.org/moc/zoe-lofgren/
"Panetta, Jimmy",California,D,house,2025,97,96,https://www.lcv.org/moc/jimmy-panetta/
"Fong, Vince",California,R,house,2025,0,4,https://www.lcv.org/moc/vince-fong/
"Costa, Jim",California,D,house,2025,67,62,https://www.lcv.org/moc/jim-costa/
"Valadao, David",California,R,house,2025,12,9,https://www.lcv.org/moc/david-g-valadao/
"Obernolte, Jay",California,R,house,2025,3,6,https://www.lcv.org/moc/jay-obernolte/
"Carbajal, Salud",California,D,house,2025,97,96,https://www.lcv.org/moc/salud-carbajal/
"Ruiz, Raul",California,D,house,2025,91,95,https://www.lcv.org/moc/raul-ruiz/
"Brownley, Julia",California,D,house,2025,100,97,https://www.lcv.org/moc/julia-brownley/
"Whitesides, George",California,D,house,2025,97,97,https://www.lcv.org/moc/george-whitesides/
"Chu, Judy",California,D,house,2025,97,98,https://www.lcv.org/moc/judy-m-chu/
"Rivas, Luz",California,D,house,2025,100,100,https://www.lcv.org/moc/luz-m-rivas/
"Friedman, Laura",California,D,house,2025,97,97,https://www.lcv.org/moc/laura-friedman/
"Cisneros, Gilbert",California,D,house,2025,100,99,https://www.lcv.org/moc/gilbert-cisneros/
"Sherman, Brad",California,D,house,2025,97,98,https://www.lcv.org/moc/brad-j-sherman/
"Aguilar, Pete",California,D,house,2025,97,96,https://www.lcv.org/moc/pete-aguilar/
"Gomez, Jimmy",California,D,house,2025,91,97,https://www.lcv.org/moc/jimmy-gomez/
"Torres, Norma",California,D,house,2025,97,96,https://www.lcv.org/moc/norma-torres/
"Lieu, Ted",California,D,house,2025,97,94,https://www.lcv.org/moc/ted-lieu/
"Kamlager-Dove, Sydney",California,D,house,2025,97,99,https://www.lcv.org/moc/sydney-kamlager-dove/
"Sanchez, Linda",California,D,house,2025,100,95,https://www.lcv.org/moc/linda-sanchez/
"Takano, Mark",California,D,house,2025,100,99,https://www.lcv.org/moc/mark-takano/
"Kim, Young",California,R,house,2025,3,13,https://www.lcv.org/moc/young-kim/
"Calvert, Ken",California,R,house,2025,3,7,https://www.lcv.org/moc/ken-s-calvert/
"Garcia, Robert",California,D,house,2025,100,98,https://www.lcv.org/moc/robert-garcia-2/
"Waters, Maxine",California,D,house,2025,88,92,https://www.lcv.org/moc/maxine-waters/
"Barragán, Nanette",California,D,house,2025,97,98,https://www.lcv.org/moc/nanette-barragan/
"Tran, Derek",California,D,house,2025,97,97,https://www.lcv.org/moc/derek-tran/
"Correa, J.",California,D,house,2025,82,92,https://www.lcv.org/moc/j-correa/
"Min, Dave",California,D,house,2025,100,100,https://www.lcv.org/moc/dave-min/
"Issa, Darrell",California,R,house,2025,0,4,https://www.lcv.org/moc/darrell-issa/
"Levin, Mike",California,D,house,2025,97,99,https://www.lcv.org/moc/mike-levin/
