lcv_name,state,party,chamber,year,score,lifetime_score,source_url
"McClain Delaney, April",Maryland,D,house,2025,94,94,https://www.lcv.org/moc/april-mcclain-delaney/
"Mfume, Kweisi",Maryland,D,house,2025,97,93,https://www.lcv.org/moc/kweisi-mfume/
"Raskin, Jamie",Maryland,D,house,2025,100,99,https://www.lcv.org/moc/jamie-raskin/
"Neal, Richard",Massachusetts,D,house,2025,100,94,https://www.lcv.org/moc/richard-e-neal/
"McGovern, Jim",Massachusetts,D,house,2025,100,99,https://www.lcv.org/moc/jim-mcgovern/
"Trahan, Lori",Massachusetts,D,house,2025,100,97,https://www.lcv.org/moc/lori-trahan/
"Auchincloss, Jake",Massachusetts,D,house,2025,97,97,https://www.lcv.org/moc/jake-auchincloss/
"Clark, Katherine",Massachusetts,D,house,2025,100,97,https://www.lcv.org/moc/katherine-m-clark/
"Moulton, Seth",Massachusetts,D,house,2025,94,96,https://www.lcv.org/moc/seth-moulton/
"Pressley, Ayanna",Massachusetts,D,house,2025,97,97,https://www.lcv.org/moc/ayanna-pressley/
"Lynch, Stephen",Massachusetts,D,house,2025,100,95,https://www.lcv.org/moc/stephen-f-lynch/
"Keating, Bill",Massachusetts,D,house,2025,100,96,https://www.lcv.org/moc/bill-keating/
"Bergman, Jack",Michigan,R,house,2025,0,7,https://www.lcv.org/moc/jack-bergman/
"Moolenaar, John",Michigan,R,house,2025,0,7,https://www.lcv.org/moc/john-moolenaar/
"Scholten, Hillary",Michigan,D,house,2025,88,92,https://www.lcv.org/moc/hillary-scholten/
"Huizenga, Bill",Michigan,R,house,2025,0,6,https://www.lcv.org/moc/bill-huizenga/
"Walberg, Tim",Michigan,R,house,2025,0,4,https://www.lcv.org/moc/tim-walberg/
"Dingell, Debbie",Michigan,D,house,2025,100,99,https://www.lcv.org/moc/debbie-dingell/
"Barrett, Tom",Michigan,R,house,2025,0,0,https://www.lcv.org/moc/tom-barrett/
"McDonald Rivet, Kristen",Michigan,D,house,2025,85,85,https://www.lcv.org/moc/kristen-mcdonald-rivet/
"McClain, Lisa",Michigan,R,house,2025,0,1,https://www.lcv.org/moc/lisa-mcclain/
"James, John",Michigan,R,house,2025,0,7,https://www.lcv.org/moc/john-james/
"Stevens, Haley",Michigan,D,house,2025,100,98,https://www.lcv.org/moc/haley-stevens/
"Tlaib, Rashida",Michigan,D,house,2025,100,98,https://www.lcv.org/moc/rashida-tlaib/
"Thanedar, Shri",Michigan,D,house,2025,97,99,https://www.lcv.org/moc/shri-thanedar/
"Finstad, Brad",Minnesota,R,house,2025,0,0,https://www.lcv.org/moc/brad-finstad/
"Craig, Angie",Minnesota,D,house,2025,97,96,https://www.lcv.org/moc/angie-craig/
"Morrison, Kelly",Minnesota,D,house,2025,100,100,https://www.lcv.org/moc/kelly-morrison/
"McCollum, Betty",Minnesota,D,house,2025,100,96,https://www.lcv.org/moc/betty-mccollum/
"Omar, Ilhan",Minnesota,D,house,2025,97,98,https://www.lcv.org/moc/ilhan-omar/
"Emmer, Tom",Minnesota,R,house,2025,0,3,https://www.lcv.org/moc/tom-emmer/
"Fischbach, Michelle",Minnesota,R,house,2025,0,2,https://www.lcv.org/moc/michelle-fischbach/
"Stauber, Pete",Minnesota,R,house,2025,3,8,https://www.lcv.org/moc/pete-stauber/
"Kelly, Trent",Mississippi,R,house,2025,0,1,https://www.lcv.org/moc/trent-kelly/
"Thompson, Bennie",Mississippi,D,house,2025,97,85,https://www.lcv.org/moc/bennie-g-thompson/
"Guest, Michael",Mississippi,R,house,2025,0,4,https://www.lcv.org/moc/michael-guest/
"Ezell, Mike",Mississippi,R,house,2025,3,1,https://www.lcv.org/moc/mike-ezell/
"Bell, Wesley",Missouri,D,house,2025,100,100,https://www.lcv.org/moc/wesley-bell/
"Wagner, Ann",Missouri,R,house,2025,0,6,https://www.lcv.org/moc/ann-wagner/
"Onder, Robert",Missouri,R,house,2025,0,0,https://www.lcv.org/moc/robert-f-onder/
"Alford, Mark",Missouri,R,house,2025,0,0,https://www.lcv.org/moc/mark-alford/
"Cleaver, Emanuel",Missouri,D,house,2025,100,91,https://www.lcv.org/moc/emanuel-cleaver/
"Graves, Sam",Missouri,R,house,2025,0,4,https://www.lcv.org/moc/sam-graves/
"Burlison, Eric",Missouri,R,house,2025,0,0,https://www.lcv.org/moc/eric-burlison/
"Smith, Jason",Missouri,R,house,2025,0,1,https://www.lcv.org/moc/jason-t-smith/
"Zinke, Ryan",Montana,R,house,2025,3,3,https://www.lcv.org/moc/ryan-zinke/
"Downing, Troy",Montana,R,house,2025,0,0,https://www.lcv.org/moc/troy-downing/
"Flood, Mike",Nebraska,R,house,2025,0,2,https://www.lcv.org/moc/mike-flood/
"Bacon, Don",Nebraska,R,house,2025,9,15,https://www.lcv.org/moc/don-bacon/
"Smith, Adrian",Nebraska,R,house,2025,0,4,https://www.lcv.org/moc/adrian-m-smith/
"Titus, Dina",Nevada,D,house,2025,100,97,https://www.lcv.org/moc/dina-titus/
"Amodei, Mark",Nevada,R,house,2025,0,6,https://www.lcv.org/moc/mark-e-amodei/
"Lee, Susie",Nevada,D,house,2025,88,94,https://www.lcv.org/moc/susie-lee/
"Horsford, Steven",Nevada,D,house,2025,88,90,https://www.lcv.org/moc/steven-a-horsford/
"Pappas, Chris",New Hampshire,D,house,2025,97,97,https://www.lcv.org/moc/chris-pappas/
"Goodlander, Maggie",New Hampshire,D,house,2025,97,97,https://www.lcv.org/moc/maggie-goodlander/
"Norcross, Donald",New Jersey,D,house,2025,100,95,https://www.lcv.org/moc/donald-w-norcross/
"Van Drew, Jefferson",New Jersey,R,house,2025,9,29,https://www.lcv.org/moc/jefferson-van-drew/
"Conaway, Herbert",New Jersey,D,house,2025,97,97,https://www.lcv.org/moc/herbert-c-conaway/
"Smith, Christopher",New Jersey,R,house,2025,6,54,https://www.lcv.org/moc/christopher-h-smith/
"Gottheimer, Josh",New Jersey,D,house,2025,79,92,https://www.lcv.org/moc/josh-gottheimer/
"Pallone, Frank",New Jersey,D,house,2025,100,97,https://www.lcv.org/moc/frank-j-pallone/
"Kean, Thomas",New Jersey,R,house,2025,9,18,https://www.lcv.org/moc/thomas-kean/
"Menendez, Robert",New Jersey,D,house,2025,100,100,https://www.lcv.org/moc/robert-menendez-2/
"Pou, Nellie",New Jersey,D,house,2025,100,100,https://www.lcv.org/moc/nellie-pou/
"McIver, LaMonica",New Jersey,D,house,2025,100,100,https://www.lcv.org/moc/lamonica-mciver/
"Sherrill, Mikie",New Jersey,D,house,2025,77,94,https://www.lcv.org/moc/mikie-sherrill/
"Watson Coleman, Bonnie",New Jersey,D,house,2025,100,98,https://www.lcv.org/moc/bonnie-watson-coleman/
"Stansbury, Melanie",New Mexico,D,house,2025,100,97,https://www.lcv.org/moc/melanie-stansbury/
"Vasquez, Gabe",New Mexico,D,house,2025,79,88,https://www.lcv.org/moc/gabe-vasquez/
"Leger Fernández, Teresa",New Mexico,D,house,2025,100,99,https://www.lcv.org/moc/teresa-leger-fernandez/
"LaLota, Nick",New York,R,house,2025,12,13,https://www.lcv.org/moc/nick-lalota/
"Garbarino, Andrew",New York,R,house,2025,9,15,https://www.lcv.org/moc/andrew-garbarino/
"Suozzi, Thomas",New York,D,house,2025,84,95,https://www.lcv.org/moc/thomas-suozzi/
"Gillen, Laura",New York,D,house,2025,84,84,https://www.lcv.org/moc/laura-gillen/
"Meeks, Gregory",New York,D,house,2025,97,91,https://www.lcv.org/moc/gregory-w-meeks/
"Meng, Grace",New York,D,house,2025,97,98,https://www.lcv.org/moc/grace-meng/
"Velázquez , Nydia",New York,D,house,2025,100,95,https://www.lcv.org/moc/nydia-velazquez/
"Jeffries, Hakeem",New York,D,house,2025,100,97,https://www.lcv.org/moc/hakeem-s-jeffries/
"Clarke, Yvette",New York,D,house,2025,100,96,https://www.lcv.org/moc/yvette-d-clarke/
"Goldman, Dan",New York,D,house,2025,100,100,https://www.lcv.org/moc/dan-goldman/
"Malliotakis, Nicole",New York,R,house,2025,9,7,https://www.lcv.org/moc/nicole-malliotakis/
"Nadler, Jerrold",New York,D,house,2025,100,98,https://www.lcv.org/moc/jerrold-l-nadler/
"Espaillat, Adriano",New York,D,house,2025,100,99,https://www.lcv.org/moc/adriano-espaillat/
"Ocasio-Cortez, Alexandria",New York,D,house,2025,100,98,https://www.lcv.org/moc/alexandria-ocasio-cortez/
"Torres, Ritchie",New York,D,house,2025,100,98,https://www.lcv.org/moc/ritchie-torres/
"Latimer, George",New York,D,house,2025,100,100,https://www.lcv.org/moc/george-latimer/
"Lawler, Michael",New York,R,house,2025,12,17,https://www.lcv.org/moc/michael-lawler/
"Ryan, Patrick",New York,D,house,2025,97,98,https://www.lcv.org/moc/patrick-ryan-2/
"Riley, Josh",New York,D,house,2025,97,97,https://www.lcv.org/moc/josh-riley/
"Tonko, Paul",New York,D,house,2025,100,98,https://www.lcv.org/moc/paul-d-tonko/
"Stefanik, Elise",New York,R,house,2025,0,23,https://www.lcv.org/moc/elise-stefanik/
"Mannion, John",New York,D,house,2025,97,97,https://www.lcv.org/moc/john-w-mannion/
"Langworthy, Nick",New York,R,house,2025,0,2,https://www.lcv.org/moc/nick-langworthy/
"Tenney, Claudia",New York,R,house,2025,0,3,https://www.lcv.org/moc/claudia-tenney/
"Morelle, Joe",New York,D,house,2025,91,96,https://www.lcv.org/moc/joe-morelle/
"Kennedy, Timothy",New York,D,house,2025,97,98,https://www.lcv.org/moc/timothy-kennedy/
"Davis, Donald",North Carolina,D,house,2025,64,71,https://www.lcv.org/moc/donald-g-davis/
"Ross, Deborah",North Carolina,D,house,2025,100,99,https://www.lcv.org/moc/deborah-ross/
"Murphy, Greg",North Carolina,R,house,2025,0,6,https://www.lcv.org/moc/greg-murphy/
"Foushee, Valerie",North Carolina,D,house,2025,100,100,https://www.lcv.org/moc/valerie-foushee/
"Foxx, Virginia",North Carolina,R,house,2025,0,4,https://www.lcv.org/moc/virginia-foxx/
"McDowell, Addison",North Carolina,R,house,2025,0,0,https://www.lcv.org/moc/addison-p-mcdowell/
"Rouzer, David",North Carolina,R,house,2025,0,3,https://www.lcv.org/moc/david-rouzer/
"Harris, Mark",North Carolina,R,house,2025,0,0,https://www.lcv.org/moc/mark-harris/
"Hudson, Richard",North Carolina,R,house,2025,0,3,https://www.lcv.org/moc/richard-hudson/
"Harrigan, Pat",North Carolina,R,house,2025,0,0,https://www.lcv.org/moc/pat-harrigan/
"Edwards, Chuck",North Carolina,R,house,2025,3,5,https://www.lcv.org/moc/chuck-edwards/
"Adams, Alma",North Carolina,D,house,2025,100,99,https://www.lcv.org/moc/alma-adams/
"Knott, Brad",North Carolina,R,house,2025,0,0,https://www.lcv.org/moc/brad-knott/
"Moore, Tim",North Carolina,R,house,2025,0,0,https://www.lcv.org/moc/tim-moore/
"Fedorchak, Julie",North Dakota,R,house,2025,0,0,https://www.lcv.org/moc/julie-fedorchak/
"King-Hinds, Kimberlyn",Northern Mariana Islands,R,house,2025,33,33,https://www.lcv.org/moc/kimberlyn-king-hinds/
"Landsman, Greg",Ohio,D,house,2025,97,98,https://www.lcv.org/moc/greg-landsman/
"Taylor, David",Ohio,R,house,2025,0,0,https://www.lcv.org/moc/david-j-taylor/
"Beatty, Joyce",Ohio,D,house,2025,88,96,https://www.lcv.org/moc/joyce-beatty/
"Jordan, Jim",Ohio,R,house,2025,0,2,https://www.lcv.org/moc/jim-jordan/
"Latta, Bob",Ohio,R,house,2025,0,3,https://www.lcv.org/moc/bob-latta/
"Rulli, Michael",Ohio,R,house,2025,0,2,https://www.lcv.org/moc/michael-a-rulli/
"Miller, Max",Ohio,R,house,2025,0,1,https://www.lcv.org/moc/max-miller/
"Davidson, Warren",Ohio,R,house,2025,0,2,https://www.lcv.org/moc/warren-davidson/
"Kaptur, Marcy",Ohio,D,house,2025,94,86,https://www.lcv.org/moc/marcy-kaptur/
"Turner, Michael",Ohio,R,house,2025,6,10,https://www.lcv.org/moc/michael-r-turner/
"Brown, Shontel",Ohio,D,house,2025,100,98,https://www.lcv.org/moc/shontel-brown/
"Balderson, Troy",Ohio,R,house,2025,0,6,https://www.lcv.org/moc/troy-balderson/
"Sykes, Emilia",Ohio,D,house,2025,100,99,https://www.lcv.org/moc/emilia-sykes/
"Joyce, David",Ohio,R,house,2025,6,12,https://www.lcv.org/moc/david-p-joyce/
"Carey, Mike",Ohio,R,house,2025,0,4,https://www.lcv.org/moc/mike-carey/
"Hern, Kevin",Oklahoma,R,house,2025,0,1,https://www.lcv.org/moc/kevin-hern/
"Brecheen, Josh",Oklahoma,R,house,2025,0,0,https://www.lcv.org/moc/josh-brecheen/
"Lucas, Frank",Oklahoma,R,house,2025,0,5,https://www.lcv.org/moc/frank-d-lucas/
"Cole, Tom",Oklahoma,R,house,2025,0,7,https://www.lcv.org/moc/tom-cole/
"Bice, Stephanie",Oklahoma,R,house,2025,0,6,https://www.lcv.org/moc/stephanie-bice/
"Bonamici, Suzanne",Oregon,D,house,2025,100,99,https://www.lcv.org/moc/suzanne-bonamici/
"Bentz, Cliff",Oregon,R,house,2025,3,3,https://www.lcv.org/moc/cliff-bentz/
"Dexter, Maxine",Oregon,D,house,2025,100,100,https://www.lcv.org/moc/maxine-dexter/
"Hoyle, Valerie",Oregon,D,house,2025,97,98,https://www.lcv.org/moc/valerie-hoyle/
"Bynum, Janelle",Oregon,D,house,2025,91,91,https://www.lcv.org/moc/janelle-s-bynum/
"Salinas, Andrea",Oregon,D,house,2025,100,100,https://www.lcv.org/moc/andrea-salinas/
"Fitzpatrick, Brian",Pennsylvania,R,house,2025,76,71,https://www.lcv.org/moc/brian-fitzpatrick/
"Boyle, Brendan",Pennsylvania,D,house,2025,100,98,https://www.lcv.org/moc/brendan-boyle/
"Evans, Dwight",Pennsylvania,D,house,2025,100,97,https://www.lcv.org/moc/dwight-evans/
"Dean, Madeleine",Pennsylvania,D,house,2025,100,99,https://www.lcv.org/moc/madeleine-dean/
"Scanlon, Mary",Pennsylvania,D,house,2025,100,99,https://www.lcv.org/moc/mary-gay-scanlon/
"Houlahan, Chrissy",Pennsylvania,D,house,2025,97,97,https://www.lcv.org/moc/chrissy-houlahan/
"Mackenzie, Ryan",Pennsylvania,R,house,2025,9,9,https://www.lcv.org/moc/ryan-mackenzie/
"Bresnahan, Robert",Pennsylvania,R,house,2025,9,9,https://www.lcv.org/moc/robert-p-bresnahan/
"Meuser, Daniel",Pennsylvania,R,house,2025,0,4,https://www.lcv.org/moc/daniel-meuser/
"Perry, Scott",Pennsylvania,R,house,2025,3,2,https://www.lcv.org/moc/scott-perry/
"Smucker, Lloyd",Pennsylvania,R,house,2025,0,5,https://www.lcv.org/moc/lloyd-smucker/
"Lee, Summer",Pennsylvania,D,house,2025,100,100,https://www.lcv.org/moc/summer-lee/
"Joyce, John",Pennsylvania,R,house,2025,0,3,https://www.lcv.org/moc/john-joyce/
"Reschenthaler, Guy",Pennsylvania,R,house,2025,0,5,https://www.lcv.org/moc/guy-reschenthaler/
"Thompson, Glenn",Pennsylvania,R,house,2025,0,5,https://www.lcv.org/moc/glenn-w-thompson/
"Kelly, Mike",Pennsylvania,R,house,2025,0,4,https://www.lcv.org/moc/mike-kelly/
"Deluzio, Chris",Pennsylvania,D,house,2025,97,97,https://www.lcv.org/moc/chris-deluzio/
"Hernández, Pablo",Puerto Rico,D,house,2025,100,100,https://www.lcv.org/moc/pablo-jose-hernandez/
"Amo, Gabe",Rhode Island,D,house,2025,100,100,https://www.lcv.org/moc/gabe-amo/
"Magaziner, Seth",Rhode Island,D,house,2025,94,98,https://www.lcv.org/moc/seth-magaziner/
"Mace, Nancy",South Carolina,R,house,2025,6,19,https://www.lcv.org/moc/nancy-mace/
"Wilson, Joe",South Carolina,R,house,2025,0,3,https://www.lcv.org/moc/joe-wilson/
"Biggs, Sheri",South Carolina,R,house,2025,0,0,https://www.lcv.org/moc/sheri-biggs/
"Timmons, William",South Carolina,R,house,2025,0,4,https://www.lcv.org/moc/william-timmons/
"Norman, Ralph",South Carolina,R,house,2025,0,1,https://www.lcv.org/moc/ralph-norman/
"Clyburn, James",South Carolina,D,house,2025,94,88,https://www.lcv.org/moc/james-e-clyburn/
"Fry, Russell",South Carolina,R,house,2025,0,2,https://www.lcv.org/moc/russell-fry/
"Johnson, Dusty",South Dakota,R,house,2025,0,5,https://www.lcv.org/moc/dusty-johnson/
"Harshbarger, Diana",Tennessee,R,house,2025,0,0,https://www.lcv.org/moc/diana-harshbarger/
"Burchett, Tim",Tennessee,R,house,2025,0,4,https://www.lcv.org/moc/tim-burchett/
"Fleischmann, Chuck",Tennessee,R,house,2025,0,5,https://www.lcv.org/moc/chuck-fleischmann/
"DesJarlais, Scott",Tennessee,R,house,2025,0,2,https://www.lcv.org/moc/scott-desjarlais/
"Ogles, William",Tennessee,R,house,2025,0,1,https://www.lcv.org/moc/william-ogles/
"Rose, John",Tennessee,R,house,2025,0,2,https://www.lcv.org/moc/john-rose/
"Van Epps, Matt",Tennessee,R,house,2025,0,0,https://www.lcv.org/moc/matt-van-epps/
"Green, Mark",Tennessee,R,house,2025,0,1,https://www.lcv.org/moc/mark-green/
"Kustoff, David",Tennessee,R,house,2025,0,4,https://www.lcv.org/moc/david-kustoff/
"Cohen, Steve",Tennessee,D,house,2025,96,97,https://www.lcv.org/moc/steve-cohen/
"Moran, Nathaniel",Texas,R,house,2025,0,0,https://www.lcv.org/moc/nathaniel-moran/
"Crenshaw, Dan",Texas,R,house,2025,0,6,https://www.lcv.org/moc/dan-crenshaw/
"Self, Keith",Texas,R,house,2025,3,1,https://www.lcv.org/moc/keith-self/
"Fallon, Pat",Texas,R,house,2025,0,1,https://www.lcv.org/moc/pat-fallon/
"Gooden, Lance",Texas,R,house,2025,0,2,https://www.lcv.org/moc/lance-gooden/
"Ellzey, Jake",Texas,R,house,2025,0,5,https://www.lcv.org/moc/jake-ellzey/
"Fletcher, Lizzie",Texas,D,house,2025,94,94,https://www.lcv.org/moc/lizzie-fletcher/
"Luttrell, Morgan",Texas,R,house,2025,0,0,https://www.lcv.org/moc/morgan-luttrell/
"Green, Al",Texas,D,house,2025,100,90,https://www.lcv.org/moc/al-green/
"McCaul, Michael",Texas,R,house,2025,3,8,https://www.lcv.org/moc/michael-t-mccaul/
"Pfluger, August",Texas,R,house,2025,0,0,https://www.lcv.org/moc/august-pfluger/
"Goldman, Craig",Texas,R,house,2025,0,0,https://www.lcv.org/moc/craig-a-goldman/
"Jackson, Ronny",Texas,R,house,2025,0,0,https://www.lcv.org/moc/ronny-jackson/
"Weber, Randy",Texas,R,house,2025,0,1,https://www.lcv.org/moc/randy-k-weber/
"De La Cruz, Mónica",Texas,R,house,2025,0,0,https://www.lcv.org/moc/monica-de-la-cruz/
"Escobar, Veronica",Texas,D,house,2025,100,98,https://www.lcv.org/moc/veronica-escobar/
"Sessions, Pete",Texas,R,house,2025,3,3,https://www.lcv.org/moc/pete-sessions/
"Turner, Sylvester",Texas,D,house,2025,100,100,https://www.lcv.org/moc/sylvester-turner/
"Arrington, Jodey",Texas,R,house,2025,0,1,https://www.lcv.org/moc/jodey-arrington/
"Castro, Joaquin",Texas,D,house,2025,100,96,https://www.lcv.org/moc/joaquin-castro/
"Roy, Chip",Texas,R,house,2025,0,2,https://www.lcv.org/moc/chip-roy/
"Nehls, Troy",Texas,R,house,2025,0,1,https://www.lcv.org/moc/troy-nehls/
"Gonzales, Tony",Texas,R,house,2025,0,7,https://www.lcv.org/moc/tony-gonzales/
"Van Duyne, Beth",Texas,R,house,2025,0,2,https://www.lcv.org/moc/beth-van-duyne/
"Williams, Roger",Texas,R,house,2025,0,2,https://www.lcv.org/moc/roger-williams/
"Gill, Brandon",Texas,R,house,2025,0,0,https://www.lcv.org/moc/brandon-gill/
"Cloud, Michael",Texas,R,house,2025,3,0,https://www.lcv.org/moc/michael-cloud/
"Cuellar, Henry",Texas,D,house,2025,42,51,https://www.lcv.org/moc/henry-cuellar/
"Garcia, Sylvia",Texas,D,house,2025,100,97,https://www.lcv.org/moc/sylvia-garcia/
"Crockett, Jasmine",Texas,D,house,2025,100,99,https://www.lcv.org/moc/jasmine-crockett/
"Carter, John",Texas,R,house,2025,0,4,https://www.lcv.org/moc/john-r-carter/
"Johnson, Julie",Texas,D,house,2025,91,91,https://www.lcv.org/moc/julie-johnson/
"Veasey, Marc",Texas,D,house,2025,79,91,https://www.lcv.org/moc/marc-a-veasey/
"Gonzalez, Vicente",Texas,D,house,2025,55,75,https://www.lcv.org/moc/vicente-gonzalez/
"Casar, Greg",Texas,D,house,2025,100,98,https://www.lcv.org/moc/greg-casar/
"Babin, Brian",Texas,R,house,2025,0,1,https://www.lcv.org/moc/brian-babin/
"Doggett, Lloyd",Texas,D,house,2025,100,98,https://www.lcv.org/moc/lloyd-a-doggett/
"Hunt, Wesley",Texas,R,house,2025,0,0,https://www.lcv.org/moc/wesley-hunt/
"Moore, Blake",Utah,R,house,2025,0,7,https://www.lcv.org/moc/blake-moore/
"Maloy, Celeste",Utah,R,house,2025,3,5,https://www.lcv.org/moc/celeste-maloy/
"Kennedy, Mike",Utah,R,house,2025,0,0,https://www.lcv.org/moc/mike-kennedy/
"Owens, Burgess",Utah,R,house,2025,0,4,https://www.lcv.org/moc/burgess-owens/
"Balint, Becca",Vermont,D,house,2025,100,99,https://www.lcv.org/moc/becca-balint/
"Plaskett, Stacey",Virgin Islands,D,house,2025,67,66,https://www.lcv.org/moc/stacey-plaskett/
"Wittman, Rob",Virginia,R,house,2025,3,9,https://www.lcv.org/moc/rob-wittman/
"Kiggans, Jennifer",Virginia,R,house,2025,6,11,https://www.lcv.org/moc/jennifer-kiggans/
"Scott, Robert",Virginia,D,house,2025,100,93,https://www.lcv.org/moc/robert-c-scott/
"McClellan, Jennifer",Virginia,D,house,2025,100,100,https://www.lcv.org/moc/jennifer-mcclellan/
"McGuire, John",Virginia,R,house,2025,0,0,https://www.lcv.org/moc/john-j-mcguire/
"Cline, Ben",Virginia,R,house,2025,0,1,https://www.lcv.org/moc/ben-cline/
"Vindman, Eugene",Virginia,D,house,2025,88,88,https://www.lcv.org/moc/eugene-simon-vindman/
"Beyer, Donald",Virginia,D,house,2025,100,97,https://www.lcv.org/moc/donald-beyer/
"Griffith, Morgan",Virginia,R,house,2025,3,6,https://www.lcv.org/moc/morgan-griffith/
"Subramanyam, Suhas",Virginia,D,house,2025,100,100,https://www.lcv.org/moc/suhas-subramanyam/
"Walkinshaw, James",Virginia,D,house,2025,100,100,https://www.lcv.org/moc/james-walkinshaw/
"Connolly, Gerald",Virginia,D,house,2025,100,97,https://www.lcv.org/moc/gerald-e-connolly/
"DelBene, Suzan",Washington,D,house,2025,100,96,https://www.lcv.org/moc/suzan-k-delbene/
"Larsen, Rick",Washington,D,house,2025,97,93,https://www.lcv.org/moc/rick-larsen/
"Gluesenkamp Perez, Marie",Washington,D,house,2025,48,57,https://www.lcv.org/moc/marie-gluesenkamp-perez/
"Newhouse, Dan",Washington,R,house,2025,6,7,https://www.lcv.org/moc/dan-newhouse/
"Baumgartner, Michael",Washington,R,house,2025,0,0,https://www.lcv.org/moc/michael-baumgartner/
"Randall, Emily",Washington,D,house,2025,100,100,https://www.lcv.org/moc/emily-randall/
"Jayapal, Pramila",Washington,D,house,2025,100,98,https://www.lcv.org/moc/pramila-jayapal/
"Schrier, Kim",Washington,D,house,2025,97,97,https://www.lcv.org/moc/kim-schrier/
"Smith, Adam",Washington,D,house,2025,100,93,https://www.lcv.org/moc/adam-smith/
"Strickland, Marilyn",Washington,D,house,2025,97,97,https://www.lcv.org/moc/marilyn-strickland/
"Miller, Carol",West Virginia,R,house,2025,0,5,https://www.lcv.org/moc/carol-miller/
"Moore, Riley",West Virginia,R,house,2025,0,0,https://www.lcv.org/moc/riley-m-moore/
"Steil, Bryan",Wisconsin,R,house,2025,0,10,https://www.lcv.org/moc/bryan-steil/
"Pocan, Mark",Wisconsin,D,house,2025,100,98,https://www.lcv.org/moc/mark-pocan/
"Van Orden, Derrick",Wisconsin,R,house,2025,6,9,https://www.lcv.org/moc/derrick-van-orden/
"Moore, Gwen",Wisconsin,D,house,2025,94,95,https://www.lcv.org/moc/gwen-moore/
"Fitzgerald, Scott",Wisconsin,R,house,2025,0,1,https://www.lcv.org/moc/scott-fitzgerald/
"Grothman, Glenn",Wisconsin,R,house,2025,0,3,https://www.lcv.org/moc/glenn-grothman/
"Tiffany, Tom",Wisconsin,R,house,2025,0,1,https://www.lcv.org/moc/tom-tiffany/
"Wied, Tony",Wisconsin,R,house,2025,0,0,https://www.lcv.org/moc/tony-wied/
"Hageman, Harriet",Wyoming,R,house,2025,0,1,https://www.lcv.org/moc/harriet-hageman/
