bioguide_id,name,party,state,chamber,committees,top_industries_current_cycle,interest_group_ratings,external_links,notes
J000298,Pramila Jayapal,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/pramila_jayapal/412730"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00038858""}",
L000560,Rick Larsen,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/rick_larsen/400232"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00009759""}",
N000189,Dan Newhouse,R,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/dan_newhouse/412660"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00036403""}",
G000600,Marie Gluesenkamp Perez,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/marie_gluesenkamp_perez/456949"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00050490""}",
R000621,Emily Randall,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/emily_randall/457030"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00054078""}",
S001216,Kim Schrier,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/kim_schrier/412835"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00041606""}",
S000510,Adam Smith,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/adam_smith/400379"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00007833""}",
S001159,Marilyn Strickland,D,WA,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/marilyn_strickland/456854"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00046320""}",
F000471,Scott Fitzgerald,R,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/scott_fitzgerald/456855"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00045434""}",
G000576,Glenn Grothman,R,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/glenn_grothman/412661"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00036409""}",
M001160,Gwen Moore,D,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/gwen_moore/400661"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00026914""}",
V000135,Derrick Van Orden,R,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/derrick_van_orden/456950"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00046843""}",
P000607,Mark Pocan,D,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/mark_pocan/412585"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00033549""}",
S001213,Bryan Steil,R,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/bryan_steil/412836"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00043379""}",
T000165,Thomas Tiffany,R,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/thomas_tiffany/456791"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00045307""}",
W000829,Tony Wied,R,WI,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/tony_wied/456963"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00055013""}",
M001205,Carol Miller,R,WV,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/carol_miller/412837"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00041542""}",
M001235,Riley Moore,R,WV,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/riley_moore/457031"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00051965""}",
H001096,Harriet Hageman,R,WY,house,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/harriet_hageman/456951"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00049197""}",
