bioguide_id,role_title,role_title_source,verdict,verified_at
SCOTUS-ROBERTS-J,Chief Justice of the United States,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-THOMAS-C,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-ALITO-S,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-SOTOMAYOR-S,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-KAGAN-E,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-GORSUCH-N,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-KAVANAUGH-B,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-BARRETT-A,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
SCOTUS-JACKSON-KB,Associate Justice,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/html/USCODE-2023-title28-partI-chap1-sec1.htm,OK,2026-08-07
